//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 5-6-2023
//--  Time: 17:5
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2200 Ohms
//--    Temperature1: 31(F), 	Resistance 1: 5330 Ohms 
//--    Temperature2: 66(F), 	Resistance 2: 2380 Ohms 
//--    Temperature3: 111(F), 	Resistance 3: 1060 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
656	43.21	432 	3.203
657	43.03	430 	3.208
658	42.85	428 	3.213
659	42.67	427 	3.218
660	42.49	425 	3.223
661	42.31	423 	3.228
662	42.13	421 	3.232
663	41.96	420 	3.237
664	41.78	418 	3.242
665	41.60	416 	3.247
666	41.42	414 	3.252
667	41.24	412 	3.257
668	41.06	411 	3.262
669	40.89	409 	3.267
670	40.71	407 	3.271
671	40.53	405 	3.276
672	40.35	404 	3.281
673	40.17	402 	3.286
674	39.99	400 	3.291
675	39.81	398 	3.296
676	39.64	396 	3.301
677	39.46	395 	3.306
678	39.28	393 	3.311
679	39.10	391 	3.315
680	38.92	389 	3.320
681	38.74	387 	3.325
682	38.56	386 	3.330
683	38.39	384 	3.335
684	38.21	382 	3.340
685	38.03	380 	3.345
686	37.85	378 	3.350
687	37.67	377 	3.354
688	37.49	375 	3.359
689	37.31	373 	3.364
690	37.13	371 	3.369
691	36.96	370 	3.374
692	36.78	368 	3.379
693	36.60	366 	3.384
694	36.42	364 	3.389
695	36.24	362 	3.394
696	36.06	361 	3.398
697	35.88	359 	3.403
698	35.70	357 	3.408
699	35.52	355 	3.413
700	35.34	353 	3.418
701	35.16	352 	3.423
702	34.99	350 	3.428
703	34.81	348 	3.433
704	34.63	346 	3.438
705	34.45	344 	3.442
706	34.27	343 	3.447
707	34.09	341 	3.452
708	33.91	339 	3.457
709	33.73	337 	3.462
710	33.55	335 	3.467
711	33.37	334 	3.472
712	33.19	332 	3.477
713	33.01	330 	3.481
714	32.83	328 	3.486
715	32.65	326 	3.491
716	32.47	325 	3.496
717	32.29	323 	3.501
718	32.11	321 	3.506
719	31.93	319 	3.511
720	31.74	317 	3.516
721	31.56	316 	3.521
722	31.38	314 	3.525
723	31.20	312 	3.530
724	31.02	310 	3.535
725	30.84	308 	3.540
726	30.66	307 	3.545
727	30.48	305 	3.550
728	30.30	303 	3.555
729	30.11	301 	3.560
730	29.93	299 	3.564
731	29.75	298 	3.569
732	29.57	296 	3.574
733	29.39	294 	3.579
734	29.20	292 	3.584
735	29.02	290 	3.589
736	28.84	288 	3.594
737	28.66	287 	3.599
738	28.48	285 	3.604
739	28.29	283 	3.608
740	28.11	281 	3.613
741	27.93	279 	3.618
742	27.74	277 	3.623
743	27.56	276 	3.628
744	27.38	274 	3.633
745	27.19	272 	3.638
746	27.01	270 	3.643
747	26.83	268 	3.647
748	26.64	266 	3.652
749	26.46	265 	3.657
750	26.27	263 	3.662
751	26.09	261 	3.667
752	25.91	259 	3.672
753	25.72	257 	3.677
754	25.54	255 	3.682
755	25.35	254 	3.687
756	25.17	252 	3.691
757	24.98	250 	3.696
758	24.80	248 	3.701
759	24.61	246 	3.706
